open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722456000000,65228.10,65399.00,64562.90,64851.50,16555.477,1722457799999,1075076438.54980,189389,7841.008,509444403.82450,0
1722457800000,64851.60,64866.90,64504.50,64577.40,7361.777,1722459599999,475841720.78850,99709,3613.572,233594000.21620,0
1722459600000,64577.40,65121.80,64500.40,64581.30,10758.654,1722461399999,697425096.80050,115525,5224.252,338667696.50390,0
1722461400000,64581.30,65003.20,64581.30,64950.00,3717.803,1722463199999,240908128.19130,56852,2048.834,132756119.66420,0
1722463200000,64950.10,65029.50,64600.00,64701.00,3369.372,1722464999999,218339363.28560,52349,1584.391,102687219.31880,0
1722465000000,64701.00,64992.70,64660.00,64943.40,2282.859,1722466799999,148060728.76760,34860,1243.360,80632789.35820,0
1722466800000,64943.30,64968.10,64672.00,64709.60,2399.831,1722468599999,155431657.07210,35659,1192.659,77239718.46640,0
1722468600000,64709.60,64750.00,64600.00,64601.80,2580.277,1722470399999,166872544.82960,32336,1119.923,72430695.14990,0
1722470400000,64601.80,64790.00,64400.00,64533.30,6438.450,1722472199999,415874761.81990,76707,2980.777,192604358.69510,0
1722472200000,64533.30,64824.40,64320.00,64626.40,5328.364,1722473999999,343988429.76650,72151,2458.158,158768693.86520,0
1722474000000,64624.70,64801.90,64369.80,64527.90,4731.604,1722475799999,305506279.61390,54966,2462.714,159013505.00640,0
1722475800000,64527.80,64531.20,64083.00,64172.60,8545.357,1722477599999,548955961.70430,98830,3592.099,230783280.18970,0
1722477600000,64172.70,64236.10,63888.00,63987.50,12013.460,1722479399999,769130294.52440,121347,5069.657,324634525.67390,0
1722479400000,63987.50,64150.00,63863.30,64081.00,5282.572,1722481199999,338166425.53470,65632,2548.928,163199279.70750,0
1722481200000,64081.10,64101.10,63722.00,64015.10,7715.409,1722482999999,492805707.30090,89252,3296.025,210573954.01580,0
1722483000000,64015.10,64064.00,63862.00,63912.80,3021.756,1722484799999,193315046.51630,44810,1600.114,102384952.28810,0
1722484800000,63912.70,64036.40,63801.60,63815.60,3273.311,1722486599999,209229050.55320,47638,1713.761,109532798.68690,0
1722486600000,63815.50,63915.40,63600.00,63716.90,8699.762,1722488399999,554391744.19030,90791,3413.867,217580835.19480,0
1722488400000,63717.00,64178.00,63559.50,64178.00,11976.693,1722490199999,765316686.04210,110104,6204.656,396583682.30040,0
1722490200000,64178.00,64330.40,64100.00,64279.50,5747.645,1722491999999,369148762.16580,57484,3332.516,214030707.31770,0
1722492000000,64279.50,64279.50,64100.00,64222.30,3960.523,1722493799999,254200151.83080,40151,1571.616,100901410.52000,0
1722493800000,64222.20,64432.60,64161.30,64204.50,3991.906,1722495599999,256756269.69800,45138,2095.764,134814230.67480,0
1722495600000,64204.40,64468.60,64194.00,64357.50,3429.757,1722497399999,220730517.46400,40850,1901.726,122385276.79750,0
1722497400000,64357.50,64413.30,64242.90,64297.40,2183.954,1722499199999,140498678.56080,30792,1021.723,65732604.35700,0
1722499200000,64297.50,64446.60,64280.10,64418.10,2392.265,1722500999999,153980357.15400,31345,1308.097,84188987.99580,0
1722501000000,64418.20,64530.00,64386.30,64472.20,2369.388,1722502799999,152749997.65070,32504,1325.101,85431652.04200,0
1722502800000,64472.20,64681.90,64446.00,64578.40,3314.456,1722504599999,214060883.86010,41330,1772.924,114507593.01650,0
1722504600000,64578.30,64591.70,64435.10,64441.90,2531.337,1722506399999,163251120.70100,29483,1051.073,67782404.54770,0
1722506400000,64441.90,64476.60,64280.00,64462.50,3639.071,1722508199999,234255500.68070,43122,1623.818,104530319.46260,0
1722508200000,64462.60,64592.30,64419.80,64554.60,1668.103,1722509999999,107585961.34310,23986,1063.036,68568679.07140,0
1722510000000,64554.40,64605.60,64431.50,64546.00,2194.637,1722511799999,141607429.98230,30624,912.696,58898525.40340,0
1722511800000,64546.10,64666.00,64455.60,64645.30,2404.991,1722513599999,155315807.31130,31354,1238.908,80017309.36100,0
1722513600000,64645.20,64890.00,64605.10,64707.60,6497.231,1722515399999,420769291.55700,64491,3281.482,212521873.26440,0
1722515400000,64707.60,64872.70,64693.90,64855.90,3139.317,1722517199999,203439942.02730,40768,1601.200,103765728.29650,0
1722517200000,64855.90,64927.20,64545.80,64574.50,4226.624,1722518999999,273457290.86280,48323,1827.480,118254847.51940,0
1722519000000,64574.50,64867.00,64430.90,64724.70,5973.499,1722520799999,386056795.99220,67933,3156.817,204037118.67090,0
1722520800000,64724.60,64752.40,64110.50,64170.20,8750.748,1722522599999,563629378.24280,92886,3826.624,246578259.01410,0
1722522600000,64170.10,64421.00,63911.00,63918.10,12789.996,1722524399999,820029146.56890,121788,5077.099,325665376.53340,0
1722524400000,63918.10,63942.50,62836.20,62964.90,36583.427,1722526199999,2319178064.85600,340385,15512.362,983473509.69430,0
1722526200000,62964.80,63142.20,62646.70,62892.60,23215.531,1722527999999,1459985888.76810,233360,12287.908,772913088.86340,0
1722528000000,62892.60,63188.00,62691.00,62888.00,11058.411,1722529799999,696306817.52350,145012,5990.733,377270909.98240,0
1722529800000,62888.00,62987.00,62650.00,62890.10,8161.371,1722531599999,512802823.66650,115111,4144.342,260428826.27420,0
1722531600000,62890.00,62909.00,62488.80,62676.10,8966.278,1722533399999,561648197.00550,121020,4220.880,264444766.06540,0
1722533400000,62676.10,63244.00,62271.20,63202.40,22642.786,1722535199999,1419828410.64730,200270,11239.036,704985753.67770,0
1722535200000,63202.50,63419.30,62900.00,63058.70,14061.391,1722536999999,888110662.52740,146371,5917.073,373776006.64220,0
1722537000000,63058.70,63073.50,62800.00,62945.00,7436.171,1722538799999,467755030.56310,90513,3280.978,206402895.11040,0
1722538800000,62945.00,63349.40,62927.10,63339.20,4813.166,1722540599999,304102385.57270,71495,2640.304,166797924.03200,0
1722540600000,63339.10,63480.00,63226.70,63403.00,4649.205,1722542399999,294656730.17150,65828,2372.349,150363459.27110,0
1722542400000,63403.00,63581.90,63312.00,63556.60,5129.255,1722544199999,325478487.36750,73788,2756.431,174939776.16680,0
1722544200000,63556.60,64777.00,63491.10,64744.50,20791.253,1722545999999,1335284951.56980,216468,11969.175,768421105.06890,0
1722546000000,64744.60,64919.00,64615.30,64786.60,8875.421,1722547799999,575011342.92900,97384,4283.346,277555716.87990,0
1722547800000,64786.70,65350.00,64756.60,64879.70,10051.514,1722549599999,653829142.86240,113411,5314.932,345796668.10100,0
1722549600000,64879.80,65650.00,64854.00,65516.40,10436.271,1722551399999,681704901.25390,115670,5670.226,370327883.76930,0
1722551400000,65516.50,65600.00,65127.30,65168.00,6945.818,1722553199999,454024918.63140,87725,2389.478,156195272.74640,0
1722553200000,65168.10,65255.00,64962.50,65088.40,5848.408,1722554999999,380655395.12250,68010,2559.670,166626417.88960,0
1722555000000,65088.40,65450.00,65012.30,65328.90,4756.727,1722556799999,310484807.21520,59347,2630.640,171693691.62160,0
